snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260405,2026-04-05 00:26:01 EDT,75775a1617698a80bb674b67fd71b772,basketball_wncaab,WNCAAB,2026-04-05T19:30:00Z,UCLA Bruins,South Carolina Gamecocks,draftkings,DraftKings,2026-04-05T04:24:57Z,h2h,2026-04-05T04:24:57Z,154,-185,
20260405,2026-04-05 00:26:01 EDT,75775a1617698a80bb674b67fd71b772,basketball_wncaab,WNCAAB,2026-04-05T19:30:00Z,UCLA Bruins,South Carolina Gamecocks,betmgm,BetMGM,2026-04-05T04:25:43Z,h2h,2026-04-05T04:25:43Z,150,-185,
20260405,2026-04-05 00:26:01 EDT,75775a1617698a80bb674b67fd71b772,basketball_wncaab,WNCAAB,2026-04-05T19:30:00Z,UCLA Bruins,South Carolina Gamecocks,fanduel,FanDuel,2026-04-05T04:24:57Z,h2h,2026-04-05T04:24:57Z,146,-180,
20260405,2026-04-05 00:26:01 EDT,75775a1617698a80bb674b67fd71b772,basketball_wncaab,WNCAAB,2026-04-05T19:30:00Z,UCLA Bruins,South Carolina Gamecocks,betrivers,BetRivers,2026-04-05T04:25:55Z,h2h,2026-04-05T04:25:55Z,140,-190,
