snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260315,2026-03-15 08:24:06 EDT,c8d4676b3211ba1aa43fd5bca620d8b4,basketball_wncaab,WNCAAB,2026-03-15T16:00:00Z,Holy Cross Crusaders,Lehigh Mountain Hawks,betrivers,BetRivers,2026-03-15T12:23:30Z,h2h,2026-03-15T12:23:30Z,-305,215,
20260315,2026-03-15 10:19:32 EDT,c8d4676b3211ba1aa43fd5bca620d8b4,basketball_wncaab,WNCAAB,2026-03-15T16:00:00Z,Holy Cross Crusaders,Lehigh Mountain Hawks,betrivers,BetRivers,2026-03-15T14:19:15Z,h2h,2026-03-15T14:19:15Z,-305,215,
20260315,2026-03-15 10:19:32 EDT,50b8d93a88cc620aaae100757b745ce1,basketball_wncaab,WNCAAB,2026-03-15T18:00:00Z,Charleston Cougars,Hofstra Pride,betrivers,BetRivers,2026-03-15T14:19:15Z,h2h,2026-03-15T14:19:15Z,-1430,600,
20260315,2026-03-15 10:19:32 EDT,a2fdc3c549cf2e00b1852484314bde52,basketball_wncaab,WNCAAB,2026-03-15T18:00:00Z,Murray St Racers,Evansville Purple Aces,betrivers,BetRivers,2026-03-15T14:19:15Z,h2h,2026-03-15T14:19:15Z,-5000,1050,
20260315,2026-03-15 12:17:53 EDT,ad005e83c6881481d2d5ff908a66a06a,basketball_wncaab,WNCAAB,2026-03-15T16:03:00Z,Fairleigh Dickinson Knights,LIU Sharks,betrivers,BetRivers,2026-03-15T16:17:35Z,h2h,2026-03-15T16:17:35Z,-715,390,
20260315,2026-03-15 12:17:53 EDT,ad005e83c6881481d2d5ff908a66a06a,basketball_wncaab,WNCAAB,2026-03-15T16:03:00Z,Fairleigh Dickinson Knights,LIU Sharks,betmgm,BetMGM,2026-03-15T16:17:34Z,h2h,2026-03-15T16:17:34Z,-625,400,
20260315,2026-03-15 12:17:53 EDT,c8d4676b3211ba1aa43fd5bca620d8b4,basketball_wncaab,WNCAAB,2026-03-15T16:06:00Z,Holy Cross Crusaders,Lehigh Mountain Hawks,betrivers,BetRivers,2026-03-15T16:17:35Z,h2h,2026-03-15T16:17:35Z,-435,260,
20260315,2026-03-15 12:17:53 EDT,c8d4676b3211ba1aa43fd5bca620d8b4,basketball_wncaab,WNCAAB,2026-03-15T16:06:00Z,Holy Cross Crusaders,Lehigh Mountain Hawks,betmgm,BetMGM,2026-03-15T16:17:34Z,h2h,2026-03-15T16:17:34Z,-275,210,
20260315,2026-03-15 12:17:53 EDT,c8d4676b3211ba1aa43fd5bca620d8b4,basketball_wncaab,WNCAAB,2026-03-15T16:06:00Z,Holy Cross Crusaders,Lehigh Mountain Hawks,fanduel,FanDuel,2026-03-15T16:17:12Z,h2h,2026-03-15T16:17:12Z,-350,240,
20260315,2026-03-15 12:17:53 EDT,c8d4676b3211ba1aa43fd5bca620d8b4,basketball_wncaab,WNCAAB,2026-03-15T16:06:00Z,Holy Cross Crusaders,Lehigh Mountain Hawks,draftkings,DraftKings,2026-03-15T16:17:34Z,h2h,2026-03-15T16:17:34Z,-360,260,
