snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260310,2026-03-10 10:37:59 EDT,9cb964c0c218347193bb2f03604b9160,basketball_wncaab,WNCAAB,2026-03-10T16:00:00Z,Green Bay Phoenix,Youngstown St Penguins,draftkings,DraftKings,2026-03-10T14:37:36Z,h2h,2026-03-10T14:37:36Z,-230,190,
20260310,2026-03-10 10:37:59 EDT,9cb964c0c218347193bb2f03604b9160,basketball_wncaab,WNCAAB,2026-03-10T16:00:00Z,Green Bay Phoenix,Youngstown St Penguins,betmgm,BetMGM,2026-03-10T14:37:21Z,h2h,2026-03-10T14:37:21Z,-235,195,
20260310,2026-03-10 10:37:59 EDT,9cb964c0c218347193bb2f03604b9160,basketball_wncaab,WNCAAB,2026-03-10T16:00:00Z,Green Bay Phoenix,Youngstown St Penguins,betrivers,BetRivers,2026-03-10T14:37:59Z,h2h,2026-03-10T14:37:59Z,-265,185,
20260310,2026-03-10 10:37:59 EDT,2bed19c64545db4f61c9e294bfbd4620,basketball_wncaab,WNCAAB,2026-03-10T20:00:00Z,Gonzaga Bulldogs,Oregon St Beavers,draftkings,DraftKings,2026-03-10T14:37:36Z,h2h,2026-03-10T14:37:36Z,-170,142,
20260310,2026-03-10 10:37:59 EDT,2bed19c64545db4f61c9e294bfbd4620,basketball_wncaab,WNCAAB,2026-03-10T20:00:00Z,Gonzaga Bulldogs,Oregon St Beavers,betmgm,BetMGM,2026-03-10T14:37:21Z,h2h,2026-03-10T14:37:21Z,-175,145,
20260310,2026-03-10 10:37:59 EDT,2bed19c64545db4f61c9e294bfbd4620,basketball_wncaab,WNCAAB,2026-03-10T20:00:00Z,Gonzaga Bulldogs,Oregon St Beavers,betrivers,BetRivers,2026-03-10T14:37:59Z,h2h,2026-03-10T14:37:59Z,-210,155,
20260310,2026-03-10 10:37:59 EDT,bf96d1a5a47f6742b6036cf81c769b55,basketball_wncaab,WNCAAB,2026-03-11T01:30:00Z,Colorado St Rams,Air Force Falcons,draftkings,DraftKings,2026-03-10T14:37:36Z,h2h,2026-03-10T14:37:36Z,-1000,650,
20260310,2026-03-10 10:37:59 EDT,bf96d1a5a47f6742b6036cf81c769b55,basketball_wncaab,WNCAAB,2026-03-11T01:30:00Z,Colorado St Rams,Air Force Falcons,betmgm,BetMGM,2026-03-10T14:37:21Z,h2h,2026-03-10T14:37:21Z,-1000,650,
20260310,2026-03-10 10:37:59 EDT,bf96d1a5a47f6742b6036cf81c769b55,basketball_wncaab,WNCAAB,2026-03-11T01:30:00Z,Colorado St Rams,Air Force Falcons,betrivers,BetRivers,2026-03-10T14:37:59Z,h2h,2026-03-10T14:37:59Z,-1667,700,
20260310,2026-03-10 12:43:22 EDT,37a92f0e4456c54658b195f3a82de9b4,basketball_wncaab,WNCAAB,2026-03-10T15:01:00Z,Florida A&M Rattlers,Bethune-Cookman Wildcats,betrivers,BetRivers,2026-03-10T16:43:09Z,h2h,2026-03-10T16:43:09Z,-910,460,
20260310,2026-03-10 12:43:22 EDT,37a92f0e4456c54658b195f3a82de9b4,basketball_wncaab,WNCAAB,2026-03-10T15:01:00Z,Florida A&M Rattlers,Bethune-Cookman Wildcats,fanduel,FanDuel,2026-03-10T16:42:54Z,h2h,2026-03-10T16:42:54Z,-1100,550,
