snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260327,2026-03-27 00:22:56 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-200,160,
20260327,2026-03-27 00:22:56 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-218,180,
20260327,2026-03-27 00:22:56 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betrivers,BetRivers,2026-03-27T04:22:43Z,h2h,2026-03-27T04:22:43Z,-220,160,
20260327,2026-03-27 00:22:56 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betmgm,BetMGM,2026-03-27T04:22:10Z,h2h,2026-03-27T04:22:10Z,-210,170,
20260327,2026-03-27 00:22:56 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-2400,1200,
20260327,2026-03-27 00:22:56 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-2500,1120,
20260327,2026-03-27 00:22:56 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betrivers,BetRivers,2026-03-27T04:22:43Z,h2h,2026-03-27T04:22:43Z,-5000,950,
20260327,2026-03-27 00:22:56 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betmgm,BetMGM,2026-03-27T04:22:10Z,h2h,2026-03-27T04:22:10Z,-2000,1000,
20260327,2026-03-27 00:22:56 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-500,380,
20260327,2026-03-27 00:22:56 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-500,360,
20260327,2026-03-27 00:22:56 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,betrivers,BetRivers,2026-03-27T04:22:43Z,h2h,2026-03-27T04:22:43Z,-500,325,
20260327,2026-03-27 00:22:56 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,betmgm,BetMGM,2026-03-27T04:22:10Z,h2h,2026-03-27T04:22:10Z,-500,375,
